,size,cuda,omp-target
0,2.0,1.35041,1.35997
1,3.0,2.04548,2.04015
2,4.0,2.72733,2.71998
3,5.0,3.40923,3.39995
4,6.0,4.09094,4.07962
5,7.0,4.77278,4.76075
6,8.0,5.45479,5.43994
7,9.0,6.13668,6.1203
8,10.0,6.8182,6.80066
9,11.0,7.50037,7.48077
10,12.0,8.18202,8.15866
11,13.0,8.86369,8.84016
12,14.0,9.54554,9.52096
13,16.0,10.9092,10.8812
14,17.0,11.5915,11.5596
15,18.0,12.2733,12.2421
16,19.0,12.9547,12.9194
17,21.0,14.3186,14.2811
18,22.0,15.0007,14.9601
19,24.0,16.3638,16.3216
20,25.0,17.0462,17.0021
21,27.0,18.41,18.3629
22,29.0,19.773,19.7221
23,32.0,21.8186,21.763
24,34.0,23.1825,23.123
25,36.0,24.5465,24.486
26,39.0,26.5922,26.5219
27,42.0,28.6377,28.5657
28,45.0,30.6823,30.6062
29,48.0,32.7276,32.6469
30,51.0,34.7733,34.685
31,55.0,37.5003,37.4035
32,59.0,40.2276,40.1188
33,64.0,43.6385,43.5248
34,68.0,46.3658,46.2446
35,73.0,49.7748,49.6518
36,78.0,53.1844,53.0527
37,84.0,57.2741,57.1238
38,90.0,61.3421,61.2059
39,97.0,66.1386,65.9734
40,103.0,70.2285,70.0414
41,111.0,75.683,75.4851
42,119.0,81.1395,80.9309
43,128.0,87.2748,87.0538
44,137.0,93.4044,93.1711
45,147.0,100.204,99.9581
46,157.0,107.05,106.75
47,168.0,114.47,114.237
48,181.0,123.392,123.078
49,194.0,132.16,131.924
50,207.0,141.01,140.768
51,222.0,151.363,150.963
52,238.0,161.366,161.844
53,256.0,174.525,174.073
54,274.0,186.619,186.322
55,294.0,200.241,199.914
56,315.0,214.534,214.204
57,337.0,229.517,229.131
58,362.0,246.576,246.162
59,388.0,264.207,263.715
60,415.0,282.556,282.166
61,445.0,302.273,302.564
62,477.0,323.598,324.36
63,512.0,348.133,348.152
64,548.0,372.177,372.671
65,588.0,399.702,399.853
66,630.0,428.302,428.406
67,675.0,458.766,458.901
68,724.0,490.953,492.253
69,776.0,526.98,527.542
70,831.0,564.662,565.021
71,891.0,605.042,605.809
72,955.0,648.718,649.371
73,1024.0,695.568,696.311
74,1097.0,745.773,745.583
75,1176.0,798.627,799.766
76,1260.0,854.221,856.866
77,1351.0,916.848,918.744
78,1448.0,983.759,984.751
79,1552.0,1053.22,1055.37
80,1663.0,1128.21,1130.55
81,1782.0,1207.97,1211.4
82,1910.0,1294.84,1298.73
83,2048.0,1388.4,1392.79
84,2194.0,1487.3,1491.35
85,2352.0,1594.39,1599.45
86,2521.0,1708.95,1714.3
87,2702.0,1831.66,1836.55
88,2896.0,1963.15,1969.21
89,3104.0,2104.19,2110.65
90,3326.0,2254.62,2261.77
91,3565.0,2416.61,2424.2
92,3821.0,2590.23,2597.28
93,4096.0,2776.56,2785.48
94,4389.0,2975.17,2984.69
95,4705.0,3189.43,3199.28
96,5042.0,3417.84,3428.57
97,5404.0,3663.08,3674.42
98,5792.0,3926.27,3936.41
99,6208.0,4208.17,4221.2
100,6653.0,4509.98,4524.05
101,7131.0,4833.86,4848.95
102,7643.0,5181.08,5197.59
103,8192.0,5553.05,5570.73
104,8779.0,5951.13,5969.35
105,9410.0,6378.56,6396.32
106,10085.0,6836.08,6853.89
107,10809.0,7326.91,7350.34
108,11585.0,7853.08,7877.71
109,12416.0,8415.96,8442.95
110,13307.0,9020.0,9048.79
111,14263.0,9668.28,9645.47
112,15286.0,10361.5,10332.3
113,16384.0,11106.1,11078.8
114,17559.0,11902.3,11871.1
115,18820.0,12756.4,12725.6
116,20171.0,13672.4,13632.9
117,21618.0,14652.9,14616.7
118,23170.0,15705.2,15660.6
119,24833.0,16831.7,16791.1
120,26615.0,18039.6,17993.7
121,28526.0,9827.43,9858.4
122,30573.0,10529.7,10565.7
123,32768.0,11285.6,11323.7
124,35119.0,12094.1,12136.5
125,37640.0,12958.6,13007.3
126,40342.0,13886.5,13940.7
127,43237.0,14881.8,14645.5
128,46340.0,15949.6,15689.8
129,49667.0,17094.4,16821.6
130,53231.0,18320.7,18029.9
131,57052.0,13157.6,13256.6
132,61147.0,14094.2,14191.5
