,size,cuda,omp-target
0,2.0,0.0117655,0.00335502
1,3.0,0.0174075,0.00505247
2,4.0,0.0231434,0.00665011
3,5.0,0.031965,0.0087877
4,6.0,0.0395035,0.0105273
5,7.0,0.0437909,0.0123543
6,8.0,0.0578477,0.0131558
7,9.0,0.0618605,0.0159071
8,10.0,0.0690451,0.0168671
9,11.0,0.0750866,0.018415
10,12.0,0.0873304,0.0202338
11,13.0,0.0885513,0.022982
12,14.0,0.0956028,0.0241591
13,16.0,0.10842,0.0283308
14,17.0,0.117295,0.0300757
15,18.0,0.122352,0.0298647
16,19.0,0.129154,0.0319559
17,21.0,0.152411,0.0336888
18,22.0,0.159122,0.0388111
19,24.0,0.164203,0.0423053
20,25.0,0.178742,0.0441274
21,27.0,0.193756,0.0451845
22,29.0,0.208205,0.0474906
23,32.0,0.200796,0.0533051
24,34.0,0.229053,0.0574862
25,36.0,0.218642,0.0631072
26,39.0,0.265394,0.0654458
27,42.0,0.295702,0.0708044
28,45.0,0.324105,0.072307
29,48.0,0.346717,0.0831143
30,51.0,0.355644,0.0900464
31,55.0,0.393512,0.0967954
32,59.0,0.417177,0.104099
33,64.0,0.423909,0.108498
34,68.0,0.456831,0.115068
35,73.0,0.393475,0.124017
36,78.0,0.532883,0.137373
37,84.0,0.599158,0.14895
38,90.0,0.632813,0.157921
39,97.0,0.694276,0.171667
40,103.0,0.735563,0.180276
41,111.0,0.728499,0.180327
42,119.0,0.853332,0.189086
43,128.0,0.906592,0.223263
44,137.0,0.981301,0.223136
45,147.0,1.04983,0.240058
46,157.0,0.982337,0.255831
47,168.0,1.13995,0.284168
48,181.0,1.22333,0.305962
49,194.0,1.38799,0.329376
50,207.0,1.37495,0.350111
51,222.0,1.53108,0.376369
52,238.0,1.70121,0.387062
53,256.0,1.68743,0.417559
54,274.0,1.64116,0.464222
55,294.0,1.89481,0.492316
56,315.0,1.92083,0.534485
57,337.0,2.17536,0.570634
58,362.0,2.26464,0.605684
59,388.0,2.45551,0.622757
