,size,cuda-1,cuda-2,cuda-4,cuda-8,cuda-16,cuda-32,cuda-64,omp-target-1,omp-target-2,omp-target-4,omp-target-8,omp-target-16,omp-target-32,omp-target-64
0,2.0,1.36438,1.37652,1.37655,1.37652,1.37656,1.37652,1.37657,1.35504,1.35484,1.3551,1.35486,1.35499,1.35497,1.35497
1,3.0,2.06479,2.06478,2.06486,2.06485,2.06486,2.06484,2.057,2.03233,2.03241,2.03255,2.03218,2.03213,2.03253,2.03197
2,4.0,2.75312,2.75314,2.75314,2.75313,2.75315,2.75314,2.74265,2.70973,2.70998,2.71032,2.70984,2.70963,2.70983,2.70925
3,5.0,3.44142,3.44131,3.44139,3.44142,3.44141,3.42833,1.71803,3.38728,3.38761,3.38722,3.38696,3.387,3.38679,3.38654
4,6.0,4.12957,4.12971,4.12971,4.12965,4.12969,4.11389,2.06162,4.06452,4.06493,4.06472,4.06499,4.06478,4.06391,4.06349
5,7.0,4.81788,4.81803,4.81797,4.81796,4.81779,4.79964,2.40017,4.74181,4.74228,4.74172,4.74243,4.74207,4.74114,4.74138
6,8.0,5.50628,5.50607,5.50628,5.50629,5.50612,5.48531,2.74358,5.41946,5.41978,5.41988,5.42002,5.41943,5.41803,5.41847
7,9.0,6.1943,6.19432,6.19454,6.1945,6.17078,3.09239,2.06053,6.09602,6.0969,6.0968,6.09655,6.09578,6.09584,6.09535
8,10.0,6.88288,6.8826,6.8826,6.88282,6.85645,3.43601,2.28948,6.77409,6.7734,6.77506,6.77488,6.77333,6.77365,6.77294
9,11.0,7.57093,7.57089,7.57113,7.57078,7.54205,3.77959,2.51524,7.45252,7.45145,7.45083,7.45237,7.45088,7.45014,7.45018
10,12.0,8.25913,8.25912,8.25908,8.25911,8.22767,4.12312,2.7439,8.12926,8.12848,8.13006,8.1286,8.12638,8.1286,8.12831
11,13.0,8.94765,8.94767,8.94735,8.94734,8.91361,4.45822,2.2317,8.8069,8.80634,8.80746,8.80626,8.8049,8.80416,8.80484
12,14.0,9.63597,9.63566,9.63586,9.63554,9.59899,4.80125,2.40334,9.48421,9.48439,9.48251,9.48482,9.48125,9.48302,9.48284
13,16.0,11.0124,11.0126,11.0122,11.0121,10.9702,5.48705,2.74407,10.84,10.839,10.8385,10.8387,10.8373,10.8372,10.8366
14,17.0,11.7004,11.7004,11.7008,11.6558,5.84111,3.8921,2.3343,11.5166,11.5167,11.5165,11.5136,11.5152,11.514,11.5132
15,18.0,12.3886,12.389,12.3887,12.3415,6.18477,4.121,2.47142,12.1949,12.1937,12.1952,12.1918,12.1926,12.1923,12.1927
16,19.0,13.077,13.0769,13.077,13.0276,6.5284,4.34998,2.60673,12.8719,12.8722,12.8743,12.8691,12.8684,12.8665,12.8699
17,21.0,14.4539,14.4533,14.4534,14.3989,7.21558,4.80173,2.40271,14.2265,14.228,14.2278,14.2219,14.2221,14.2252,14.2225
18,22.0,15.1423,15.1417,15.1417,15.0846,7.55906,5.03044,2.51713,14.9047,14.9056,14.9036,14.8999,14.8983,14.901,14.899
19,24.0,16.5182,16.5187,16.5182,16.4554,8.2463,5.4877,2.74422,16.2593,16.2584,16.2599,16.2536,16.2533,16.2547,16.2549
20,25.0,17.2071,17.207,17.2069,17.1409,8.58994,4.29162,2.45157,16.9373,16.9354,16.9373,16.9316,16.9317,16.9352,16.9334
21,27.0,18.5838,18.5835,18.5835,18.5129,9.25958,4.63493,2.64627,18.2918,18.2906,18.2924,18.2856,18.2869,18.287,18.2875
22,29.0,19.9602,19.9603,19.96,19.8835,9.94545,4.97352,2.48821,19.6466,19.6328,19.6497,19.6395,19.4579,19.6443,19.6439
23,32.0,22.0252,22.0245,22.0242,21.9404,10.9741,5.48805,2.7443,21.6782,21.6806,21.6811,21.6716,21.6723,21.6739,21.6736
24,34.0,23.4009,23.4015,23.3126,11.6823,7.78413,4.66855,2.59296,23.0328,23.0311,23.0267,23.0227,23.0248,23.0275,23.0278
25,36.0,24.778,24.7774,24.6839,12.3694,8.24199,4.94317,2.74433,24.389,24.3905,24.3802,24.3781,24.3829,24.38,24.3822
26,39.0,26.8423,26.8421,26.7408,13.4004,8.92882,5.35099,2.67575,26.4239,26.4209,26.4103,26.411,26.413,26.4163,26.4124
