,size,cuda-1,cuda-2,cuda-4,cuda-8,cuda-16,cuda-32,omp-target-1,omp-target-2,omp-target-4,omp-target-8,omp-target-16,omp-target-32
0,2.0,0.0103475,0.0132255,0.0126867,0.0108857,0.0144155,0.0118498,0.00326976,0.00337155,0.00355695,0.00352165,0.00329196,0.00355166
1,3.0,0.0160569,0.0216098,0.0201152,0.0168645,0.0200865,0.0201407,0.00498709,0.00529969,0.00530454,0.00531876,0.00471983,0.00535077
2,4.0,0.024343,0.0268164,0.0286675,0.0256764,0.0269276,0.0285568,0.00692009,0.00684569,0.00708702,0.00708671,0.00640359,0.0070597
3,5.0,0.0355757,0.0332542,0.0343565,0.030454,0.0334164,0.0355773,0.00866994,0.00887609,0.00888211,0.0083422,0.00875783,0.0086793
4,6.0,0.0423319,0.0406879,0.0401951,0.0411995,0.0430167,0.0392125,0.0104407,0.0106491,0.0106489,0.0105716,0.010653,0.0106141
5,7.0,0.0473119,0.0472006,0.0504846,0.0496156,0.0498033,0.0464267,0.0122441,0.0120733,0.0123832,0.0118085,0.0123673,0.0121856
6,8.0,0.0534316,0.0538994,0.0566347,0.0523202,0.0570054,0.0516757,0.0140629,0.0141064,0.0141161,0.014091,0.014123,0.0139787
7,9.0,0.0615462,0.0634286,0.0576485,0.0630494,0.0641569,0.0605648,0.015601,0.0159311,0.015961,0.0158662,0.0157099,0.0154729
8,10.0,0.0720545,0.0632843,0.0662017,0.0671759,0.0690847,0.0717718,0.0177468,0.0173972,0.0175815,0.017652,0.017729,0.0176005
9,11.0,0.0789,0.0738254,0.0759643,0.0737176,0.0777104,0.0777662,0.0194238,0.0190813,0.0193482,0.0188409,0.0193426,0.0192786
10,12.0,0.0797522,0.0818272,0.0858537,0.0793881,0.0855337,0.0847405,0.0213666,0.0211709,0.0212824,0.0212493,0.0201248,0.0212087
11,13.0,0.0867756,0.0917353,0.0867673,0.0851832,0.0918917,0.0817418,0.0219079,0.0229387,0.0224734,0.022853,0.0229032,0.0227816
12,14.0,0.0987169,0.0987976,0.0964241,0.0956378,0.0931858,0.0987352,0.0242757,0.0240405,0.0245605,0.0236198,0.02397,0.0245805
