,size,cuda,omp-target
0,2.0,1.48728,1.4968
1,3.0,2.25213,2.24548
2,4.0,3.00289,2.99548
3,5.0,3.75361,3.74493
4,6.0,4.50432,4.49375
5,7.0,5.25507,5.24292
6,8.0,6.00548,5.99123
7,9.0,6.75598,6.74035
8,10.0,7.50642,7.48916
9,11.0,8.25684,8.2383
10,12.0,9.00721,8.98686
11,13.0,9.75763,9.73553
12,14.0,10.5081,10.4843
13,16.0,12.0089,11.9811
14,17.0,12.7594,12.7299
15,18.0,13.51,13.4794
16,19.0,14.2605,14.2287
17,21.0,15.7614,15.7261
18,22.0,16.5118,16.4739
19,24.0,18.0128,17.9733
20,25.0,18.7635,18.7225
21,27.0,20.2648,20.2215
22,29.0,21.7658,21.7189
23,32.0,24.0176,23.9668
24,34.0,25.5187,25.4652
25,36.0,27.0196,26.9575
26,39.0,29.2715,29.2104
27,42.0,31.5231,31.4535
28,45.0,33.7751,33.7043
29,48.0,36.0266,35.952
30,51.0,38.2778,38.1941
31,55.0,41.2799,41.1942
32,59.0,44.2823,44.1851
33,64.0,48.0354,47.9356
34,68.0,51.0376,50.9313
35,73.0,54.7902,54.6734
36,78.0,58.5424,58.4219
37,84.0,63.0461,62.9178
38,90.0,67.548,67.4119
39,97.0,72.8026,72.6514
40,103.0,77.3051,77.1482
41,111.0,83.3102,83.1365
42,119.0,89.3144,89.128
43,128.0,96.0701,95.8692
44,137.0,102.433,102.606
45,147.0,109.91,110.1
46,157.0,117.387,117.574
47,168.0,125.61,125.83
48,181.0,135.332,135.564
49,194.0,145.051,145.304
50,207.0,154.771,155.042
51,222.0,165.986,166.271
52,238.0,177.948,178.256
53,256.0,191.407,191.739
54,274.0,204.867,205.194
55,294.0,219.818,220.171
56,315.0,235.517,235.893
57,337.0,251.971,252.347
58,362.0,270.665,271.068
59,388.0,290.103,290.537
60,415.0,310.293,310.76
61,445.0,332.72,333.225
62,477.0,356.652,357.184
63,512.0,382.814,383.396
64,548.0,409.446,410.345
65,588.0,439.312,440.317
66,630.0,470.696,471.737
67,675.0,504.688,505.458
68,724.0,541.327,542.144
69,776.0,580.212,581.064
70,831.0,621.334,622.233
71,891.0,666.195,667.201
72,955.0,714.038,715.131
73,1024.0,765.622,766.798
74,1097.0,820.181,821.43
75,1176.0,879.26,880.621
76,1260.0,942.05,943.499
77,1351.0,1010.07,1011.75
78,1448.0,1082.61,1084.25
79,1552.0,1160.35,1162.23
80,1663.0,1243.35,1245.38
81,1782.0,1332.32,1334.47
82,1910.0,1427.95,1430.32
83,2048.0,1531.15,1533.62
84,2194.0,1640.3,1643.02
85,2352.0,1758.38,1761.23
86,2521.0,1884.72,1887.74
87,2702.0,2020.06,2023.31
88,2896.0,2165.1,2168.55
89,3104.0,2316.82,2324.44
90,3326.0,2486.59,2490.66
91,3565.0,2665.19,2669.63
92,3821.0,2856.61,2861.2
93,4096.0,3062.19,3067.0
94,4389.0,3277.86,3286.41
95,4705.0,3511.95,3523.01
96,5042.0,3769.44,3775.3
97,5404.0,4035.3,4046.5
98,5792.0,4330.19,4337.13
99,6208.0,4639.33,4648.59
100,6653.0,4974.2,4981.86
101,7131.0,5331.65,5339.51
102,7643.0,5714.35,5723.0
103,8192.0,6124.9,6134.05
104,8779.0,6556.54,6574.34
105,9410.0,7036.22,7046.92
106,10085.0,7540.51,7551.4
107,10809.0,8080.11,8062.81
108,11585.0,8661.73,8641.34
109,12416.0,9280.51,9261.52
110,13307.0,9948.86,9926.89
111,14263.0,10663.7,10639.7
112,15286.0,11428.5,11404.0
113,16384.0,12249.7,12222.7
114,17559.0,13127.8,13098.3
115,18820.0,14070.7,14039.6
116,20171.0,15082.0,15047.9
117,21618.0,8246.66,10963.6
118,23170.0,8838.23,11455.5
119,24833.0,9472.51,12276.2
120,26615.0,10152.0,13497.2
121,28526.0,10880.8,14102.6
122,30573.0,11661.9,15112.9
123,32768.0,12499.1,12501.3
124,35119.0,13395.6,13397.9
125,37640.0,14357.1,14359.3
126,40342.0,15387.1,15378.7
127,43237.0,11000.9,13190.3
128,46340.0,11790.2,14137.2
129,49667.0,12636.8,15151.9
130,53231.0,13543.3,13542.2
131,57052.0,14515.4,14514.4
132,61147.0,15557.7,15554.7
133,65536.0,12509.6,14291.6
134,70239.0,13407.4,15316.7
135,75281.0,14369.5,14369.6
136,80684.0,15400.6,15399.9
137,86475.0,13206.5,14671.7
138,92681.0,14153.6,14156.3
139,99334.0,15169.4,15170.5
140,106463.0,13549.5,14781.8
141,114104.0,14521.9,14524.6
142,122294.0,15563.5,15566.4
143,131072.0,14298.1,14261.1
144,140479.0,15324.6,15147.9
145,150562.0,14372.5,14586.7
146,161368.0,15404.1,15116.7
147,172950.0,14640.1,14869.5
148,185363.0,14158.6,13642.8
149,198668.0,15173.5,13794.0
150,212927.0,14677.4,14175.1
151,228209.0,13685.0,15055.0
152,244589.0,13779.3,15532.2
153,262144.0,14307.3,13652.9
154,280958.0,15191.3,13330.3
155,301124.0,15201.5,13530.1
156,322737.0,15376.4,14416.2
157,345901.0,13979.3,15259.1
158,370727.0,14226.0,14906.7
159,397336.0,14146.3,13802.7
160,425854.0,14201.9,14241.2
161,456419.0,14644.2,15026.6
162,489178.0,15531.1,15539.0
163,524288.0,14503.5,14309.9
164,561917.0,14355.0,14929.0
165,602248.0,14656.2,15313.5
166,645474.0,15385.0,14616.5
167,691802.0,14652.7,15022.7
168,741455.0,14541.1,15071.1
169,794672.0,15160.3,14979.0
170,851708.0,14719.2,15474.0
171,912838.0,14898.7,14941.7
172,978356.0,15536.2,15542.7
173,1048576.0,15056.6,15152.8
