,size,cuda,omp-target
0,2.0,0.0146868,0.00394914
1,3.0,0.0221856,0.0059512
2,4.0,0.0297549,0.00798222
3,5.0,0.0345135,0.00989012
4,6.0,0.0423608,0.011721
5,7.0,0.0520484,0.0140702
6,8.0,0.0585602,0.0160678
7,9.0,0.0651328,0.0179884
8,10.0,0.0731557,0.0196185
9,11.0,0.0806736,0.0218974
10,12.0,0.0888279,0.0240566
11,13.0,0.0948323,0.0257178
12,14.0,0.103123,0.0279396
13,16.0,0.117071,0.0323508
14,17.0,0.125115,0.0340267
15,18.0,0.129948,0.0360686
16,19.0,0.138869,0.0378492
17,21.0,0.147265,0.0421383
18,22.0,0.159703,0.0440158
19,24.0,0.175525,0.0484437
20,25.0,0.18402,0.0502378
21,27.0,0.194999,0.0541832
22,29.0,0.212506,0.0583906
23,32.0,0.237439,0.0647321
24,34.0,0.245625,0.0679118
25,36.0,0.26629,0.072382
26,39.0,0.284714,0.077232
27,42.0,0.302858,0.0840475
28,45.0,0.328199,0.0903427
29,48.0,0.359627,0.0963613
30,51.0,0.377542,0.102011
31,55.0,0.406548,0.11039
32,59.0,0.434136,0.117529
33,64.0,0.470751,0.1286
34,68.0,0.494739,0.135103
35,73.0,0.538185,0.146577
36,78.0,0.571957,0.155528
37,84.0,0.578521,0.16875
38,90.0,0.644818,0.178626
39,97.0,0.708502,0.193946
40,103.0,0.736581,0.205596
41,111.0,0.81318,0.220856
42,119.0,0.876624,0.237476
43,128.0,0.916514,0.257941
44,137.0,0.995575,0.274089
45,147.0,1.05822,0.292959
46,157.0,1.13995,0.313961
47,168.0,1.21293,0.337151
48,181.0,1.32567,0.359561
49,194.0,1.42971,0.382568
50,207.0,1.51476,0.417493
51,222.0,1.61539,0.438918
52,238.0,1.7615,0.471844
53,256.0,1.86519,0.517435
54,274.0,1.98604,0.548585
55,294.0,2.15007,0.554288
56,315.0,2.3271,0.589707
57,337.0,2.32649,0.624245
58,362.0,2.63718,0.681093
59,388.0,2.8975,0.728715
60,415.0,3.00349,0.776474
61,445.0,3.25137,0.83448
62,477.0,3.57248,0.902904
63,512.0,3.71741,0.963913
64,548.0,4.02118,1.03527
65,588.0,4.30602,1.09116
66,630.0,4.5946,1.18838
67,675.0,4.90389,1.25329
68,724.0,5.24692,1.36094
69,776.0,5.66901,1.44912
70,831.0,6.11827,1.5692
71,891.0,6.51373,1.65888
72,955.0,7.01755,1.80726
73,1024.0,7.51361,1.92243
74,1097.0,7.82845,1.99283
75,1176.0,8.12825,2.20688
76,1260.0,8.91109,2.37312
77,1351.0,9.47542,2.48718
78,1448.0,10.1892,2.68309
79,1552.0,10.7819,2.9268
80,1663.0,11.7402,3.12843
81,1782.0,12.5845,3.29074
82,1910.0,13.6414,3.63311
83,2048.0,14.5179,3.84195
84,2194.0,15.3604,4.07145
85,2352.0,16.7256,4.43237
86,2521.0,17.2466,4.58401
87,2702.0,19.7536,4.85716
88,2896.0,20.0093,5.4062
89,3104.0,21.7825,5.85907
90,3326.0,23.1086,6.19937
91,3565.0,25.2068,6.61313
92,3821.0,27.6157,7.12106
93,4096.0,28.8746,7.70647
94,4389.0,31.5533,8.06771
95,4705.0,32.7897,8.84339
96,5042.0,36.0837,9.33149
97,5404.0,37.5398,9.92573
98,5792.0,41.0547,10.7633
99,6208.0,43.6538,11.5304
100,6653.0,48.0495,12.5095
101,7131.0,49.9972,13.2518
102,7643.0,54.2456,14.3345
103,8192.0,58.5451,15.4263
104,8779.0,61.6876,15.9441
105,9410.0,67.1726,17.341
106,10085.0,70.4589,18.7591
107,10809.0,74.8834,20.1261
108,11585.0,79.8257,21.3665
109,12416.0,85.9901,22.722
110,13307.0,90.7201,24.7826
111,14263.0,100.107,26.0921
112,15286.0,104.565,28.0224
113,16384.0,114.708,29.6949
114,17559.0,121.075,32.2763
115,18820.0,127.49,34.3689
116,20171.0,135.66,36.1226
117,21618.0,146.604,39.1652
118,23170.0,155.234,42.054
119,24833.0,169.306,44.6606
120,26615.0,179.654,47.5557
121,28526.0,195.968,50.4667
122,30573.0,202.287,54.4074
123,32768.0,214.427,58.7355
124,35119.0,234.353,61.6432
125,37640.0,245.533,65.6582
126,40342.0,263.23,70.5409
127,43237.0,272.245,74.9693
128,46340.0,284.057,79.3845
129,49667.0,311.277,85.5501
130,53231.0,319.34,89.8498
131,57052.0,350.876,97.3958
132,61147.0,374.409,101.952
133,65536.0,393.688,111.239
134,70239.0,410.588,118.296
135,75281.0,420.326,123.768
136,80684.0,448.801,131.189
137,86475.0,494.645,140.759
138,92681.0,515.876,150.605
139,99334.0,554.973,161.042
140,106463.0,574.356,169.683
141,114104.0,601.327,181.509
142,122294.0,629.864,190.452
143,131072.0,663.324,201.067
144,140479.0,698.395,214.361
145,150562.0,740.363,225.696
146,161368.0,758.863,240.886
147,172950.0,811.631,250.678
148,185363.0,844.589,267.567
149,198668.0,896.016,280.848
150,212927.0,937.029,297.304
151,228209.0,962.105,310.403
152,244589.0,1001.35,327.248
153,262144.0,1041.86,341.68
154,280958.0,961.012,359.641
155,301124.0,1020.05,378.053
156,322737.0,1045.15,378.203
157,345901.0,1092.96,411.716
158,370727.0,1105.1,429.234
159,397336.0,1057.31,432.81
160,425854.0,1046.45,397.048
161,456419.0,1052.61,448.889
162,489178.0,964.135,436.301
163,524288.0,866.037,450.596
164,561917.0,806.121,442.35
165,602248.0,752.616,442.974
166,645474.0,689.572,455.339
167,691802.0,664.611,462.568
168,741455.0,647.955,476.939
169,794672.0,624.23,484.029
170,851708.0,662.029,498.068
171,912838.0,670.105,515.087
172,978356.0,664.78,527.274
173,1048576.0,681.01,533.696
174,1123835.0,680.777,552.824
175,1204497.0,691.214,562.754
176,1290948.0,696.311,573.721
177,1383604.0,698.984,587.655
178,1482910.0,709.792,597.264
179,1589344.0,709.008,603.4
180,1703416.0,716.628,609.082
181,1825676.0,722.212,622.809
182,1956712.0,724.269,630.291
