,size,cuda-1,cuda-2,cuda-4,cuda-8,cuda-16,cuda-32,cuda-64,omp-target-1,omp-target-2,omp-target-4,omp-target-8,omp-target-16,omp-target-32,omp-target-64
0,2.0,1.50051,1.50068,1.50051,1.50128,1.50129,1.50127,1.50106,1.49785,1.4979,1.49785,1.49791,1.49784,1.49786,1.49773
1,3.0,2.2511,2.25098,2.25125,2.2519,2.25188,2.25184,2.24345,2.24708,2.24688,2.24689,2.24664,2.2466,2.24697,2.24699
2,4.0,3.00194,3.00234,3.00261,3.00244,3.00243,3.00242,2.99129,2.99607,2.99569,2.99571,2.99531,2.99533,2.996,2.99584
3,5.0,3.7533,3.75332,3.75313,3.75297,3.75296,3.73858,1.87364,3.74517,3.74449,3.74406,3.74446,3.74416,3.74502,3.74488
4,6.0,4.50395,4.50383,4.5037,4.50326,4.50329,4.48615,2.24834,4.49434,4.49367,4.49305,4.49375,4.49343,4.49401,4.49403
5,7.0,5.25438,5.25433,5.2542,5.25304,5.25362,5.23363,2.61808,5.24353,5.24163,5.24181,5.24322,5.24272,5.24286,5.24169
6,8.0,6.00506,6.00497,6.00474,6.00405,6.00316,5.98121,2.99215,5.99234,5.99088,5.99108,5.99174,5.99201,5.99197,5.99034
7,9.0,6.75567,6.75551,6.75491,6.75462,6.72881,3.37166,2.24715,6.74145,6.73929,6.74048,6.74081,6.73985,6.7406,6.73862
8,10.0,7.50609,7.50606,7.50507,7.50524,7.47648,3.74639,2.49685,7.49054,7.48832,7.48996,7.48984,7.48993,7.48939,7.48709
9,11.0,8.25655,8.25642,8.25546,8.25604,8.22431,4.12105,2.74304,8.23945,8.23737,8.23897,8.23859,8.23878,8.23835,8.23623
10,12.0,9.00708,9.00668,9.00553,9.00694,8.9721,4.49573,2.99241,8.98887,8.98643,8.98752,8.988,8.98787,8.98718,8.9848
11,13.0,9.75711,9.75684,9.7565,9.75804,9.71984,4.86123,2.43376,9.73739,9.73631,9.73707,9.73681,9.73707,9.73328,9.73339
12,14.0,10.5077,10.5071,10.507,10.5091,10.468,5.23534,2.62096,10.4869,10.4859,10.4858,10.4858,10.4857,10.4823,10.4816
13,16.0,12.0082,12.007,12.0085,12.0108,11.9631,5.98334,2.99254,11.9849,11.9828,11.9836,11.9842,11.9837,11.9786,11.9776
14,17.0,12.7586,12.7584,12.7588,12.7127,6.36959,4.24412,2.54563,12.7344,12.7324,12.733,12.7324,12.7323,12.7294,12.7272
15,18.0,13.5091,13.509,13.5098,13.4604,6.74488,4.49387,2.69536,13.4836,13.4818,13.4817,13.4819,13.4813,13.478,13.4746
