,size,cuda-1,cuda-2,cuda-4,cuda-8,cuda-16,cuda-32,omp-target-1,omp-target-2,omp-target-4,omp-target-8,omp-target-16,omp-target-32
0,2.0,0.0158294,0.0172852,0.0172767,0.0176905,0.0175173,0.0168881,0.00420785,0.00403638,0.00425928,0.00422467,0.00426013,0.00417168
1,3.0,0.0242216,0.026058,0.0262251,0.0260599,0.0260262,0.0260339,0.00638809,0.00605976,0.00629454,0.00650474,0.00630951,0.0063571
2,4.0,0.0311523,0.0344397,0.0345047,0.0352766,0.0342363,0.034087,0.00852063,0.00814156,0.00852629,0.00849469,0.00841671,0.0084612
3,5.0,0.0404371,0.0442358,0.0429075,0.0434216,0.0425837,0.0436139,0.0105109,0.0101184,0.0107058,0.0105078,0.0106415,0.0105337
4,6.0,0.0473742,0.0525303,0.0530661,0.0510844,0.0515866,0.0510465,0.0128521,0.012106,0.0126923,0.0127219,0.0126038,0.0126155
5,7.0,0.0558458,0.0605104,0.0614456,0.0612107,0.0612479,0.0605819,0.0148629,0.0142309,0.0147915,0.0150355,0.0147571,0.0147291
6,8.0,0.0645763,0.0706261,0.0699719,0.0690698,0.0702774,0.0696505,0.0170136,0.0162315,0.0168404,0.0160907,0.0166811,0.0169013
7,9.0,0.0702623,0.0778017,0.0779683,0.0773078,0.0792397,0.0809603,0.0190529,0.0181932,0.0191348,0.0181948,0.0188486,0.0189568
8,10.0,0.0783505,0.0861788,0.0852992,0.085944,0.0875435,0.0793049,0.0211622,0.0202651,0.0200051,0.0201246,0.0208585,0.0208902
9,11.0,0.0888349,0.0961474,0.0945922,0.0949877,0.0954819,0.0849405,0.0231966,0.0221431,0.0221443,0.0219444,0.0233512,0.0236087
10,12.0,0.096077,0.105615,0.106574,0.0956755,0.103479,0.0943833,0.02553,0.0241872,0.0241555,0.0241138,0.023486,0.0252682
11,13.0,0.10179,0.101791,0.10227,0.102358,0.102513,0.0996158,0.0271084,0.0261235,0.0260888,0.0259699,0.0261084,0.0273618
12,14.0,0.112597,0.112684,0.110694,0.110859,0.111649,0.107327,0.0298139,0.0281991,0.0279344,0.0280716,0.0278356,0.0298581
13,16.0,0.129393,0.125853,0.129475,0.125913,0.126258,0.120531,0.0338453,0.0323481,0.0319613,0.0321314,0.0316214,0.0339612
14,17.0,0.13397,0.138704,0.134252,0.134724,0.12839,0.128383,0.035802,0.0340121,0.0342239,0.0342579,0.034312,0.0365889
15,18.0,0.142662,0.144042,0.140614,0.141053,0.137787,0.135707,0.0380356,0.0364784,0.0359726,0.0360646,0.0359046,0.0371388
16,19.0,0.154846,0.148951,0.149197,0.147179,0.148197,0.143149,0.0395006,0.0382396,0.0380516,0.0384534,0.0385116,0.0395347
17,21.0,0.169986,0.170841,0.164832,0.163817,0.156957,0.155113,0.0448896,0.0420586,0.0416661,0.0417614,0.0419778,0.0431606
18,22.0,0.177396,0.179291,0.171708,0.170279,0.163656,0.162876,0.0459335,0.0438564,0.0440243,0.0436914,0.0441989,0.0465322
19,24.0,0.190223,0.189973,0.186755,0.184715,0.177556,0.174068,0.0514969,0.047963,0.0477839,0.0481507,0.0477474,0.0505467
20,25.0,0.197758,0.197784,0.190956,0.194783,0.18443,0.186878,0.0530424,0.0496946,0.049404,0.0504821,0.0498426,0.0520193
21,27.0,0.217999,0.216892,0.210899,0.211372,0.200336,0.198453,0.0574928,0.0538876,0.0542667,0.0538404,0.0537346,0.0571545
22,29.0,0.22965,0.235941,0.224922,0.224864,0.211113,0.209475,0.0611224,0.0574795,0.0569528,0.0584617,0.0586206,0.06105
23,32.0,0.259397,0.250615,0.248368,0.247986,0.238888,0.230705,0.067982,0.0640602,0.063605,0.064187,0.0645429,0.0665308
24,34.0,0.272702,0.273054,0.261547,0.268164,0.251726,0.250697,0.071596,0.0682076,0.0673286,0.0678509,0.06781,0.0718327
25,36.0,0.283453,0.288429,0.279327,0.270981,0.261988,0.264777,0.0765584,0.0721899,0.0713621,0.0719574,0.0720058,0.0755207
26,39.0,0.309383,0.308485,0.305198,0.301843,0.28351,0.290246,0.0826757,0.0789061,0.078349,0.0786871,0.0775194,0.0816106
27,42.0,0.342598,0.333147,0.328095,0.328198,0.305742,0.31009,0.087958,0.0846516,0.0845515,0.0838191,0.0840305,0.087371
28,45.0,0.354288,0.356841,0.350027,0.337931,0.333507,0.325616,0.0956703,0.0895847,0.0902044,0.0896251,0.0894041,0.0931427
29,48.0,0.388234,0.385002,0.370042,0.358252,0.342503,0.353257,0.103448,0.0966506,0.0949541,0.0957205,0.0948587,0.101706
30,51.0,0.401995,0.401204,0.398549,0.381702,0.373736,0.364515,0.108684,0.10148,0.10193,0.100365,0.10327,0.104905
31,55.0,0.442739,0.432941,0.423731,0.400414,0.402622,0.395795,0.114877,0.109461,0.108918,0.10958,0.108498,0.115091
32,59.0,0.476666,0.458,0.448773,0.431005,0.437084,0.43585,0.125706,0.116538,0.117498,0.115558,0.11618,0.123553
33,64.0,0.517598,0.501568,0.481552,0.460717,0.464263,0.469255,0.134674,0.128187,0.126391,0.12753,0.125663,0.13502
34,68.0,0.531856,0.531627,0.509701,0.49036,0.489501,0.490878,0.144038,0.137221,0.135291,0.135012,0.135778,0.141109
35,73.0,0.575431,0.559875,0.543953,0.534947,0.514146,0.52147,0.154001,0.144134,0.144547,0.14635,0.142805,0.152169
36,78.0,0.613239,0.611113,0.578733,0.559327,0.565702,0.557103,0.164404,0.154914,0.154192,0.156235,0.153406,0.161936
37,84.0,0.676551,0.643089,0.618657,0.599644,0.586716,0.607958,0.178954,0.166455,0.165739,0.167363,0.162175,0.174344
38,90.0,0.713499,0.690998,0.665415,0.649473,0.647408,0.627412,0.189102,0.177149,0.177513,0.179606,0.17529,0.185344
39,97.0,0.775284,0.745698,0.722497,0.711397,0.704385,0.677101,0.203479,0.192446,0.193227,0.186794,0.188888,0.202961
40,103.0,0.809731,0.793594,0.766535,0.736295,0.722021,0.741654,0.218478,0.205027,0.202482,0.205364,0.199211,0.212051
41,111.0,0.890572,0.84941,0.800575,0.793134,0.793628,0.770526,0.234197,0.220417,0.219495,0.221134,0.215362,0.228508
